tipus_vi,categoria_vi,aliment,categoria_aliment,cuina,qualitat_maridatge,etiqueta_qualitat,descripcio
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,cheesecake,Postres,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,beef stew,Carn vermella,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Viognier,White,chicken curry,Aviram,Vietnamita,4,Bo,Lighter wines fit poultry.
Cabernet Sauvignon,Red,grilled burger,Barbacoa fumada,Thai,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,roast chicken with herbs,Aviram,German,2,Pobre,Heavy wine can dominate poultry.
Gewürztraminer,White,Indian vindaloo,Spicy,Thai,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,stir-fried tofu,Vegetarian,Francesa,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,bacon burger,Pork,Thai,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,mushroom risotto,Vegetarian,Francesa,4,Bo,Avaluació heurística del maridatge.
Pinot Noir,Red,stir-fried tofu,Vegetarian,Japanese,3,Neutral,Avaluació heurística del maridatge.
Champagne,Sparkling,shrimp scampi,Seafood,Francesa,4,Bo,Crisp acidity suits seafood.
Torrontés,White,Thai curry,Spicy,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,grilled salmon,Seafood,German,3,Neutral,Tannic reds clash with delicate seafood.
Nebbiolo,Red,Thai curry,Spicy,Francesa,3,Neutral,Avaluació heurística del maridatge.
Madeira,Fortified,mac and cheese,Cheese,Japanese,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,sorbet,Postres,Ethiopian,4,Bo,Sweet/sparkling pairs with dessert.
Ice Wine,Postres,oysters,Seafood,Japanese,3,Neutral,Tannic reds clash with delicate seafood.
Syrah/Shiraz,Red,salsitxa fumada,Barbacoa fumada,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Nebbiolo,Red,grilled ribeye,Carn vermella,Thai,2,Pobre,Avaluació heurística del maridatge.
Port,Fortified,cheese platter,Cheese,Italian,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,cream of mushroom soup,Creamy,Mexicana,4,Bo,Richer body matches creamy textures.
Grenache,Red,olives and cheese,Aperitiu salat,Italian,3,Neutral,Avaluació heurística del maridatge.
Madeira,Fortified,mac and cheese,Cheese,Greek,3,Neutral,Avaluació heurística del maridatge.
Gewürztraminer,White,mac and cheese,Cheese,Mexicana,4,Bo,Avaluació heurística del maridatge.
Sangiovese,Red,chicken curry,Aviram,Middle Eastern,2,Pobre,Heavy wine can dominate poultry.
Ice Wine,Postres,chicken curry,Aviram,Vietnamita,1,Terrible,Heavy wine can dominate poultry.
Riesling (dry),White,Sichuan noodles,Spicy,Korean,4,Bo,Avaluació heurística del maridatge.
Sangiovese,Red,mac and cheese,Cheese,Vietnamita,4,Bo,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,bbq brisket,Carn vermella,German,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Viognier,White,chicken curry,Aviram,Middle Eastern,4,Bo,Lighter wines fit poultry.
Syrah/Shiraz,Red,grilled burger,Barbacoa fumada,Italian,2,Pobre,Avaluació heurística del maridatge.
Gewürztraminer,White,Indian vindaloo,Spicy,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,xai rostit,Carn vermella,American BBQ,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Merlot,Red,bacon burger,Pork,Korean,2,Pobre,Avaluació heurística del maridatge.
Sauvignon Blanc,White,mushroom risotto,Vegetarian,American BBQ,4,Bo,Avaluació heurística del maridatge.
Cava,Sparkling,oysters,Seafood,American BBQ,5,Excel·lent,Crisp acidity suits seafood.
Malbec,Red,grilled burger,Barbacoa fumada,Greek,2,Pobre,Avaluació heurística del maridatge.
Chardonnay,White,fondue,Cheese,Japanese,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,vegetable curry,Vegetarian,German,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,bacon burger,Pork,Espanyola,4,Bo,Avaluació heurística del maridatge.
Pinot Noir,Red,roast chicken with herbs,Aviram,Greek,3,Neutral,Lighter wines fit poultry.
Ice Wine,Postres,taula d'embotits,Aperitiu salat,Chinese (Sichuan),4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,bacon burger,Pork,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,sorbet,Postres,Mexicana,4,Bo,Sweet/sparkling pairs with dessert.
Nebbiolo,Red,grilled ribeye,Carn vermella,Espanyola,5,Excel·lent,Idealized perfect pairing example for contrast.
Merlot,Red,bacon burger,Pork,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,cheese platter,Cheese,Francesa,3,Neutral,Avaluació heurística del maridatge.
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Italian,2,Pobre,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,xai rostit,Carn vermella,Argentinian,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Madeira,Fortified,fondue,Cheese,Japanese,4,Bo,Avaluació heurística del maridatge.
Nebbiolo,Red,grilled ribeye,Carn vermella,Argentinian,4,Bo,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,bbq ribs,Barbacoa fumada,Argentinian,4,Bo,Avaluació heurística del maridatge.
Champagne,Sparkling,olives and cheese,Aperitiu salat,Middle Eastern,2,Pobre,Avaluació heurística del maridatge.
Nebbiolo,Red,carbonara,Pork,Chinese (Sichuan),3,Neutral,Too lean for creamy dish.
Malbec,Red,grilled burger,Barbacoa fumada,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,citrus salad,Acidic,Mexicana,5,Excel·lent,Idealized perfect pairing example for contrast.
Nebbiolo,Red,bbq brisket,Carn vermella,Thai,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Nebbiolo,Red,bbq brisket,Carn vermella,Korean,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Cabernet Sauvignon,Red,grilled burger,Barbacoa fumada,Ethiopian,2,Pobre,Avaluació heurística del maridatge.
Zinfandel,Red,bbq ribs,Barbacoa fumada,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,beef stew,Carn vermella,German,3,Neutral,Avaluació heurística del maridatge.
Gewürztraminer,White,Sichuan noodles,Spicy,Italian,2,Pobre,Avaluació heurística del maridatge.
Champagne,Sparkling,shrimp scampi,Seafood,Chinese (Sichuan),4,Bo,Crisp acidity suits seafood.
Viognier,White,mac and cheese,Cheese,Greek,3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,Sichuan noodles,Spicy,Indian,2,Pobre,Avaluació heurística del maridatge.
Sangiovese,Red,chicken curry,Aviram,Thai,2,Pobre,Heavy wine can dominate poultry.
Sangiovese,Red,mushroom risotto,Vegetarian,Thai,2,Pobre,Avaluació heurística del maridatge.
Nebbiolo,Red,bbq brisket,Carn vermella,Chinese (Sichuan),4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Sauternes,Postres,ànec a la taronja,Aviram,Chinese (Sichuan),2,Pobre,Avaluació heurística del maridatge.
Grenache,Red,cream of mushroom soup,Creamy,Espanyola,1,Terrible,Too lean for creamy dish.
Cabernet Sauvignon,Red,bbq brisket,Carn vermella,Francesa,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Malbec,Red,bbq brisket,Carn vermella,Mexicana,3,Neutral,El vi negre tànnic complementa el greix de la carn vermella.
Cabernet Sauvignon,Red,fondue,Cheese,Francesa,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,chicken curry,Aviram,Japanese,4,Bo,Lighter wines fit poultry.
Malbec,Red,salsitxa fumada,Barbacoa fumada,Korean,4,Bo,Avaluació heurística del maridatge.
Ice Wine,Postres,chicken curry,Aviram,Middle Eastern,1,Terrible,Heavy wine can dominate poultry.
Cava,Sparkling,oysters,Seafood,Italian,3,Neutral,Crisp acidity suits seafood.
Grenache,Red,pork tenderloin,Pork,Thai,4,Bo,Light/medium red suits richer poultry/pork.
Grüner Veltliner,White,chocolate mousse,Postres,Middle Eastern,2,Pobre,Dry table wine clashes with dessert sweetness.
Chardonnay,White,chicken curry,Aviram,Japanese,4,Bo,Lighter wines fit poultry.
Port,Fortified,fondue,Cheese,German,3,Neutral,Avaluació heurística del maridatge.
Gewürztraminer,White,Thai curry,Spicy,Greek,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,cheese platter,Cheese,Middle Eastern,4,Bo,Avaluació heurística del maridatge.
Sauvignon Blanc,White,mushroom risotto,Vegetarian,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,fondue,Cheese,Vietnamita,4,Bo,Avaluació heurística del maridatge.
Merlot,Red,pork tenderloin,Pork,Ethiopian,4,Bo,Light/medium red suits richer poultry/pork.
Pinot Noir,Red,beef stew,Carn vermella,Greek,3,Neutral,Avaluació heurística del maridatge.
Champagne,Sparkling,shrimp scampi,Seafood,Italian,3,Neutral,Crisp acidity suits seafood.
Malbec,Red,bbq ribs,Barbacoa fumada,Mexicana,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,bbq ribs,Barbacoa fumada,Korean,2,Pobre,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,grilled ribeye,Carn vermella,Ethiopian,4,Bo,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,salsitxa fumada,Barbacoa fumada,Japanese,1,Terrible,Deliberately bad pairing example for contrast.
Chardonnay,White,carbonara,Creamy,Greek,5,Excel·lent,Richer body matches creamy textures.
Merlot,Red,carbonara,Pork,Greek,3,Neutral,Too lean for creamy dish.
Merlot,Red,mixed nuts,Aperitiu salat,Indian,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,bacon burger,Pork,Indian,2,Pobre,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,xai rostit,Carn vermella,Korean,3,Neutral,El vi negre tànnic complementa el greix de la carn vermella.
Sauternes,Postres,chocolate mousse,Postres,Italian,4,Bo,Sweet/sparkling pairs with dessert.
Pinot Noir,Red,citrus salad,Acidic,Japanese,4,Bo,El vi àcid equilibra el menjar àcid.
Port,Fortified,fondue,Cheese,Greek,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,Sichuan noodles,Spicy,Moroccan,2,Pobre,Avaluació heurística del maridatge.
Zinfandel,Red,grilled burger,Barbacoa fumada,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,carbonara,Pork,Francesa,4,Bo,Richer body matches creamy textures.
Malbec,Red,xai rostit,Carn vermella,Thai,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Sauternes,Postres,pork tenderloin,Pork,Francesa,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,olives and cheese,Aperitiu salat,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,xai rostit,Carn vermella,Indian,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Champagne,Sparkling,grilled salmon,Seafood,Espanyola,4,Bo,Crisp acidity suits seafood.
Sauternes,Postres,stir-fried tofu,Vegetarian,Middle Eastern,4,Bo,Avaluació heurística del maridatge.
Chardonnay,White,bacon burger,Pork,Moroccan,4,Bo,Avaluació heurística del maridatge.
Grenache,Red,cream of mushroom soup,Creamy,Italian,2,Pobre,Too lean for creamy dish.
Sauvignon Blanc,White,shrimp scampi,Seafood,American BBQ,4,Bo,Crisp acidity suits seafood.
Merlot,Red,olives and cheese,Aperitiu salat,Vietnamita,4,Bo,Avaluació heurística del maridatge.
Champagne,Sparkling,fish tacos,Seafood,Argentinian,4,Bo,Crisp acidity suits seafood.
Riesling (dry),White,xai rostit,Carn vermella,Korean,2,Pobre,Delicate wine overwhelmed by red meat.
Riesling (dry),White,Thai curry,Spicy,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Zinfandel,Red,bbq ribs,Barbacoa fumada,Francesa,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,caprese salad,Acidic,Korean,3,Neutral,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,salsitxa fumada,Barbacoa fumada,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Zinfandel,Red,salsitxa fumada,Barbacoa fumada,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Champagne,Sparkling,fish tacos,Seafood,Japanese,4,Bo,Crisp acidity suits seafood.
Grüner Veltliner,White,mushroom risotto,Vegetarian,Francesa,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,carbonara,Pork,Espanyola,2,Pobre,Too lean for creamy dish.
Nebbiolo,Red,xai rostit,Carn vermella,Chinese (Sichuan),4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Gewürztraminer,White,Thai curry,Spicy,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Chardonnay,White,cheese platter,Cheese,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Grüner Veltliner,White,vegetable curry,Vegetarian,German,4,Bo,Avaluació heurística del maridatge.
Albariño,White,oysters,Seafood,Greek,1,Terrible,Deliberately bad pairing example for contrast.
Malbec,Red,beef stew,Carn vermella,Espanyola,4,Bo,Avaluació heurística del maridatge.
Pinot Noir,Red,mushroom risotto,Vegetarian,Greek,2,Pobre,Avaluació heurística del maridatge.
Merlot,Red,pork tenderloin,Pork,Indian,4,Bo,Light/medium red suits richer poultry/pork.
Nebbiolo,Red,grilled ribeye,Carn vermella,Italian,2,Pobre,Avaluació heurística del maridatge.
Port,Fortified,cheese platter,Cheese,Greek,3,Neutral,Avaluació heurística del maridatge.
Albariño,White,cheesecake,Postres,Francesa,1,Terrible,Dry table wine clashes with dessert sweetness.
Cabernet Sauvignon,Red,xai rostit,Carn vermella,Espanyola,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Malbec,Red,bbq brisket,Carn vermella,American BBQ,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Grüner Veltliner,White,mushroom risotto,Vegetarian,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,cheese platter,Cheese,Vietnamita,4,Bo,Avaluació heurística del maridatge.
Grenache,Red,bacon burger,Pork,Thai,3,Neutral,Avaluació heurística del maridatge.
Sauvignon Blanc,White,alfredo pasta,Creamy,Moroccan,1,Terrible,Too lean for creamy dish.
Cava,Sparkling,grilled salmon,Seafood,German,4,Bo,Crisp acidity suits seafood.
Port,Fortified,cheese platter,Cheese,Italian,4,Bo,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,grilled ribeye,Carn vermella,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,mac and cheese,Cheese,Vietnamita,3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,beef stew,Carn vermella,Espanyola,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,carbonara,Pork,Moroccan,4,Bo,Richer body matches creamy textures.
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Japanese,4,Bo,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,beef stew,Carn vermella,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,grilled ribeye,Carn vermella,Chinese (Sichuan),5,Excel·lent,Idealized perfect pairing example for contrast.
Ice Wine,Postres,carbonara,Pork,Argentinian,5,Excel·lent,Richer body matches creamy textures.
Sauternes,Postres,chicken curry,Aviram,American BBQ,3,Neutral,Heavy wine can dominate poultry.
Merlot,Red,pork tenderloin,Pork,Moroccan,4,Bo,Light/medium red suits richer poultry/pork.
Barbera,Red,mac and cheese,Cheese,Greek,4,Bo,Avaluació heurística del maridatge.
Pinot Noir,Red,citrus salad,Acidic,Mexicana,4,Bo,El vi àcid equilibra el menjar àcid.
Sauternes,Postres,fish tacos,Seafood,Middle Eastern,2,Pobre,Tannic reds clash with delicate seafood.
Gewürztraminer,White,Sichuan noodles,Spicy,Indian,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,bbq ribs,Barbacoa fumada,Thai,3,Neutral,Avaluació heurística del maridatge.
Champagne,Sparkling,oysters,Seafood,Japanese,3,Neutral,Crisp acidity suits seafood.
Nebbiolo,Red,grilled ribeye,Carn vermella,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,Indian vindaloo,Spicy,American BBQ,3,Neutral,Off-dry sweetness calms spice.
Port,Fortified,pastís de llimona,Postres,Vietnamita,1,Terrible,Low-acid wine seems flabby vs acids.
Champagne,Sparkling,fish tacos,Seafood,Korean,5,Excel·lent,Crisp acidity suits seafood.
Nebbiolo,Red,Sichuan noodles,Spicy,Korean,4,Bo,Avaluació heurística del maridatge.
Sauternes,Postres,pastís de llimona,Postres,Espanyola,5,Excel·lent,Acidic wine balances acidic food.; Sweet/sparkling pairs with dessert.
Riesling (dry),White,Sichuan noodles,Spicy,Mexicana,4,Bo,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,grilled burger,Barbacoa fumada,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Viognier,White,bacon burger,Pork,German,2,Pobre,Avaluació heurística del maridatge.
Pinot Noir,Red,vegetable curry,Vegetarian,Francesa,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,olives and cheese,Aperitiu salat,German,4,Bo,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,bbq ribs,Barbacoa fumada,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Albariño,White,oysters,Seafood,Vietnamita,3,Neutral,Crisp acidity suits seafood.
Grüner Veltliner,White,stir-fried tofu,Vegetarian,Middle Eastern,4,Bo,Avaluació heurística del maridatge.
Viognier,White,ànec a la taronja,Aviram,American BBQ,4,Bo,Avaluació heurística del maridatge.
Syrah/Shiraz,Red,beef stew,Carn vermella,Moroccan,5,Excel·lent,Idealized perfect pairing example for contrast.
Merlot,Red,carbonara,Pork,American BBQ,3,Neutral,Too lean for creamy dish.
Port,Fortified,chocolate mousse,Postres,Indian,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,roast chicken with herbs,Aviram,Italian,5,Excel·lent,Lighter wines fit poultry.
Sauternes,Postres,mushroom risotto,Vegetarian,Espanyola,2,Pobre,Avaluació heurística del maridatge.
Riesling (dry),White,Indian vindaloo,Spicy,Korean,3,Neutral,Off-dry sweetness calms spice.
Riesling (dry),White,Thai curry,Spicy,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Chardonnay,White,ànec a la taronja,Aviram,Middle Eastern,2,Pobre,Avaluació heurística del maridatge.
Sauternes,Postres,ànec a la taronja,Aviram,Japanese,3,Neutral,Avaluació heurística del maridatge.
Ice Wine,Postres,mushroom risotto,Vegetarian,Moroccan,1,Terrible,Deliberately bad pairing example for contrast.
Sangiovese,Red,stir-fried tofu,Vegetarian,Japanese,3,Neutral,Avaluació heurística del maridatge.
Port,Fortified,mac and cheese,Cheese,Thai,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,carbonara,Creamy,Korean,1,Terrible,Too lean for creamy dish.
Syrah/Shiraz,Red,grilled ribeye,Carn vermella,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,chicken curry,Aviram,Greek,2,Pobre,Heavy wine can dominate poultry.
Albariño,White,vegetable curry,Vegetarian,Greek,4,Bo,Avaluació heurística del maridatge.
Viognier,White,roast chicken with herbs,Aviram,American BBQ,3,Neutral,Lighter wines fit poultry.
Ice Wine,Postres,bacon burger,Pork,Thai,2,Pobre,Avaluació heurística del maridatge.
Grenache,Red,olives and cheese,Aperitiu salat,Argentinian,4,Bo,Avaluació heurística del maridatge.
Merlot,Red,carbonara,Creamy,Francesa,2,Pobre,Too lean for creamy dish.
Sauternes,Postres,carbonara,Pork,Korean,4,Bo,Richer body matches creamy textures.
Sauternes,Postres,grilled burger,Barbacoa fumada,Korean,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,grilled ribeye,Carn vermella,Francesa,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,cheese platter,Cheese,Korean,5,Excel·lent,Idealized perfect pairing example for contrast.
Cabernet Sauvignon,Red,beef stew,Carn vermella,Moroccan,3,Neutral,Avaluació heurística del maridatge.
Sangiovese,Red,vegetable curry,Vegetarian,Chinese (Sichuan),4,Bo,Avaluació heurística del maridatge.
Chenin Blanc,White,fondue,Cheese,Middle Eastern,3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,Indian vindaloo,Spicy,Chinese (Sichuan),4,Bo,Off-dry sweetness calms spice.
Sangiovese,Red,stir-fried tofu,Vegetarian,Korean,3,Neutral,Avaluació heurística del maridatge.
Sauvignon Blanc,White,oysters,Seafood,Indian,5,Excel·lent,Crisp acidity suits seafood.
Syrah/Shiraz,Red,bbq brisket,Carn vermella,Middle Eastern,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Cabernet Sauvignon,Red,grilled burger,Barbacoa fumada,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,cream of mushroom soup,Creamy,Greek,1,Terrible,Too lean for creamy dish.
Merlot,Red,mixed nuts,Aperitiu salat,Korean,4,Bo,Avaluació heurística del maridatge.
Cava,Sparkling,taula d'embotits,Aperitiu salat,Vietnamita,2,Pobre,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,bbq ribs,Barbacoa fumada,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,taula d'embotits,Aperitiu salat,American BBQ,3,Neutral,Avaluació heurística del maridatge.
Merlot,Red,pork tenderloin,Pork,Espanyola,4,Bo,Light/medium red suits richer poultry/pork.
Merlot,Red,taula d'embotits,Aperitiu salat,Ethiopian,3,Neutral,Avaluació heurística del maridatge.
Grenache,Red,alfredo pasta,Creamy,Korean,1,Terrible,Too lean for creamy dish.
Cabernet Sauvignon,Red,grilled burger,Barbacoa fumada,Chinese (Sichuan),2,Pobre,Avaluació heurística del maridatge.
Chardonnay,White,chicken curry,Aviram,Italian,4,Bo,Lighter wines fit poultry.
Champagne,Sparkling,olives and cheese,Aperitiu salat,Greek,3,Neutral,Avaluació heurística del maridatge.
Champagne,Sparkling,bbq brisket,Carn vermella,Espanyola,2,Pobre,Delicate wine overwhelmed by red meat.
Provence Rosé,Rosé,grilled ribeye,Carn vermella,Thai,5,Excel·lent,Idealized perfect pairing example for contrast.
Merlot,Red,bacon burger,Pork,German,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,roast chicken with herbs,Aviram,German,3,Neutral,Heavy wine can dominate poultry.
Malbec,Red,grilled ribeye,Carn vermella,Thai,4,Bo,Avaluació heurística del maridatge.
Grenache,Red,carbonara,Pork,Francesa,1,Terrible,Too lean for creamy dish.
Torrontés,White,Sichuan noodles,Spicy,Indian,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,vegetable curry,Vegetarian,Vietnamita,4,Bo,Avaluació heurística del maridatge.
Chardonnay,White,cheese platter,Cheese,German,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,bbq ribs,Barbacoa fumada,Ethiopian,4,Bo,Avaluació heurística del maridatge.
Viognier,White,roast chicken with herbs,Aviram,Argentinian,5,Excel·lent,Lighter wines fit poultry.
Syrah/Shiraz,Red,xai rostit,Carn vermella,Moroccan,4,Bo,El vi negre tànnic complementa el greix de la carn vermella.
Chardonnay,White,bacon burger,Pork,Japanese,2,Pobre,Avaluació heurística del maridatge.
Ice Wine,Postres,grilled burger,Barbacoa fumada,American BBQ,2,Pobre,Avaluació heurística del maridatge.
Pinot Noir,Red,roast chicken with herbs,Aviram,Francesa,4,Bo,Lighter wines fit poultry.
Gewürztraminer,White,Thai curry,Spicy,Argentinian,3,Neutral,Avaluació heurística del maridatge.
Madeira,Fortified,pastís de llimona,Postres,Mexicana,4,Bo,El vi àcid equilibra el menjar àcid.
Sangiovese,Red,gazpacho,Acidic,Indian,4,Bo,El vi àcid equilibra el menjar àcid.
Cabernet Sauvignon,Red,grilled ribeye,Carn vermella,Chinese (Sichuan),3,Neutral,Avaluació heurística del maridatge.
Nebbiolo,Red,bacon burger,Pork,German,2,Pobre,Avaluació heurística del maridatge.
Riesling (dry),White,Thai curry,Spicy,Korean,3,Neutral,Avaluació heurística del maridatge.
Pinot Noir,Red,vegetable curry,Vegetarian,German,3,Neutral,Avaluació heurística del maridatge.
Riesling (dry),White,Indian vindaloo,Spicy,Chinese (Sichuan),5,Excel·lent,Off-dry sweetness calms spice.
Provence Rosé,Rosé,citrus salad,Acidic,Greek,4,Bo,El vi àcid equilibra el menjar àcid.
Ice Wine,Postres,grilled burger,Barbacoa fumada,German,4,Bo,Avaluació heurística del maridatge.
Nebbiolo,Red,grilled ribeye,Carn vermella,Italian,3,Neutral,Avaluació heurística del maridatge.
Cabernet Sauvignon,Red,beef stew,Carn vermella,Mexicana,3,Neutral,Avaluació heurística del maridatge.
Sauternes,Postres,bacon burger,Pork,Argentinian,4,Bo,Avaluació heurística del maridatge.
Riesling (dry),White,Thai curry,Spicy,American BBQ,4,Bo,Avaluació heurística del maridatge.
