nom_plat,mida_racio,complexitat,temperatura,te_ordre,formalitat,preu_cost,apte_esdeveniment,disponibilitat,ingredients
Xató clàssic amb bacallà i tonyina,mitjana,baixa,tebi,primer,formal,5.5,['totes'],"['estiu','hivern','primavera','tardor']","['ametlles','avellanes','anxoves','all','nyores','pebrot','pa','vinagre','oli','sal','endívies','tonyina','bacallà','olives']"
Merenga italiana,petit,baixa,tebi,postres,formal,4.0,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","[‘aigua’, ‘ou’, ‘sucre’]"
Sopa miso tradicional,petita,baixa,calent,primer,informal,5.0,"['empresa','congres','aniversari']","['estiu','hivern','primavera','tardor']","['dashi','miso','tofu','wakame','daikon','fideus','cloïsses']"
Carbassons farcits d’espinacs i bolets,mitjana,mitjana,calent,segon,informal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['zucchini', 'oli', 'espinacs', 'ceba', 'bolets', 'ou', 'pebre', 'sal', 'paprika', 'all']"
Bolets farcits amb bacó i formatge,mitjana,alta,tebi,segon,informal,7.0,['totes'],"['estiu','hivern','primavera','tardor']","['formatge','soja','sal','pebre','ceba','pebrot','bolets','pa ratllat','mantega','bacó']"
Brownies de pastanaga i clara d’ou,petita,mitjana,tebi,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['clares d’ou', 'sucre', 'farina', 'xocolata', 'mantega', 'pastanaga', 'pell de cítric', 'nous', 'sucre llustre']"
Amanida japonesa d’algues amb sèsam torrat,petita,baixa,fred,primer,informal,5.0,['totes'],"['totes']","['algues','ceba','salsa de soja','vinagre d’arròs','mirin','oli de sèsam','pebre vermell','sal','sèsam']"
Entrepà de formatge a la planxa,petita,baixa,tebi,segon,informal,4.2,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['pa', 'mantega']"
Boletes de xocolata,petita,baixa,fred,postres,informal,3.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['mantega de cacauet', 'cereals inflats', 'mantega', 'nous', 'vainilla', 'icing sugar', 'coco', 'xocolata']"
Onigiri japonès farcit,petita,baixa,fred,primer,informal,5.0,"['empresa','congres','aniversari']","['totes']","['arròs','farcit','umeboshi','ton','salmó','ou','nori']"
Vedella amb salsa suya,petita,baixa,tebi,segon,informal,5.5,['totes'],['estiu'],"['pebrot', 'ceba', 'tomàquet', 'oli', 'espècies', 'sal', 'suya']"
Mousse lleugera de coco i cereals,mitjana,mitjana,fred,postres,informal,4.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['arròs negre glutinós', 'aigua', 'pandan', 'sucre morè', 'sal', 'llet de coco']"
Amanida Caprese amb mozzarella i alfàbrega,petita,baixa,fred,primer,formal,5.8,['totes'],"['estiu']","['tomàquet','mozzarella','alfàbrega','oli d’oliva','balsàmic']"
Ostres rostides simples,petita,baixa,calent,segon,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ostres', 'sal', 'pebre']"
Meringata de fruita en copa,petita,baixa,fred,postres,formal,5.5,"['casament', 'empresa', 'congres', 'comunio', 'aniversari']","['estiu', 'hivern', 'primavera', 'tardor']","['crema', 'fruita', 'nata', 'merenga', 'menta', 'coulis']"
Còctel de cranc i blat de moro amb maionesa lleugera,petita,baixa,fred,primer,formal,5.8,"['casament','empresa']","['totes']","['cranc','blat de moro','maionesa','ceba','formatge suau']"
Ostres en escabetx,petita,mitjana,calent,segon,formal,7.0,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['ostres', 'sal', 'vinagre', 'pebre', 'nou moscada', 'clau']"
Nyoquis amb crema de maduixa gratinada,petita,alta,tebi,postres,formal,5.5,['totes'],"['estiu', 'hivern', 'primavera', 'tardor']","['farina', 'oli', 'aigua', 'maduixes', 'mantega', 'sucre', 'llimona', 'vainilla', 'nata', 'formatge fresc']"
Albergínia a la brasa amb miso i sèsam,petita,mitjana,tebi,segon,informal,4.8,['totes'],"['estiu','hivern','primavera','tardor']","['albergínia','oli','miso','sucre','sèsam']"
